No,PUBCHEM_CID,cyp2c19_action,cyp2c19_warning,cyp2c19_conclusion,cyp2c19_score,cyp2d6_action,cyp2d6_warning,cyp2d6_conclusion,cyp2d6_score,cyp3a4_action,cyp3a4_warning,cyp3a4_conclusion,cyp3a4_score,cyp1a2_action,cyp1a2_warning,cyp1a2_conclusion,cyp1a2_score,cyp2c9_action,cyp2c9_warning,cyp2c9_conclusion,cyp2c9_score,Smile
4384,3242468,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=NC2=C(N1C3=CC(=C(C(=C3)OC)OC)OC)C=CC(=C2)C(=O)NCCOC
4386,3242474,1,0,Active,62,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,CCS(=O)(=O)NCC(C1=CN=CC=C1)N2CCN(CC2)C3=CC=CC=C3F
4388,3242488,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,64,CCC1=NN=C(S1)NC=C2C(=O)OC(OC2=O)(C)C
4389,3242491,1,0,Active,45,0,0,Inactive,0,1,0,Active,86,1,0,Active,42,1,0,Active,42,C1CCCC(CCC1)N2C(C3=CC=CC=C3C2=O)C(=O)NCC4=CN=CC=C4
4390,866705,1,0,Active,42,1,0,Active,41,1,0,Active,84,1,0,Active,87,1,0,Active,41,COC1=CC=CC(=C1)N2C=CN=C2SCC(=O)NC3=NC=CS3
4398,3242556,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCS(=O)(=O)N1CCC(CC1)C(=O)NCC2=CC=CO2
4402,3162449,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)OC1=CC=C(C=C1)C2CC(=O)NC3=C2C(=O)CCC3
4405,3242639,1,0,Active,42,0,0,Inactive,0,1,0,Active,42,1,0,Active,41,1,0,Active,42,CC1=C(C(N2C(=NC(=N2)C3=CC=NC=C3)N1)C4=CC=CC=C4)C(=O)N
4406,3242645,0,0,Inactive,0,1,0,Active,40,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1=CC=C2C(=C1)C(=O)N(C=N2)NC(=O)C3=C(C=C(C=C3)F)Cl
4409,2992168,1,0,Active,45,0,0,Inactive,0,1,0,Active,41,1,0,Active,88,1,0,Active,44,COC1=C(C=C(C=C1)C2=CC(=NC(=N2)N3CCOCC3)C(F)(F)F)OC
4411,135402594,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,86,1,0,Active,41,CCOC(=O)C(=C(C)O)C(=NC(=O)NC1=CC=CC=C1)N
4413,3242710,1,0,Active,41,1,0,Active,42,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,C1CC(C2=CC=CC=C2C1)NC(=O)CN3C(=O)C4C5CC(C4C3=O)C=C5
4420,3242738,1,0,Active,90,1,0,Active,41,1,0,Active,42,0,0,Inactive,0,1,0,Active,95,CN(CC(=O)N1CCN(CC1)C2=CC=CC=C2)S(=O)(=O)C3=CN=CN3
4423,3242749,1,0,Active,89,1,0,Active,87,1,0,Active,89,1,0,Active,43,1,0,Active,91,CCCCCN1C(=O)C2=C(C=C(C=C2)C(=O)NCC3=CC=CO3)N=C1SCC4=CC=NC=C4
4425,599987,1,0,Active,63,0,0,Inactive,0,1,0,Active,42,1,0,Active,41,0,0,Inactive,0,C1=CC=C2C(=C1)C(=O)N(C2=O)CCCC3=NC(=NO3)C4=NON=C4N
4438,3242805,1,0,Active,85,0,0,Inactive,0,1,0,Active,84,1,0,Active,86,1,0,Active,85,COC1=C(C=C(C=C1)CCNC2=NC(=CC(=N2)C(F)(F)F)C3=CC=CO3)OC
4441,3242849,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C(=O)O)N1C(=O)C2=C(C1=O)C(=C(C=C2)OC)OC
4442,135402275,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,CCCC1=CC(=O)NC(=N1)SCC
4444,3242877,1,0,Active,46,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,CC1=C(C=C(C=C1)N2C(=O)C3C4CC(C3C2=O)C=C4)C
4448,68261,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,C1CC2=NC3=CC=CC=C3C(=O)N2C1
4458,3242996,1,0,Active,40,0,0,Inactive,0,1,0,Active,84,0,0,Inactive,0,0,0,Inactive,0,C1CCC2=C(C1)C=CC=C2NC(=O)CN3C(=O)C4C5CC(C4C3=O)C=C5
4459,2804810,1,0,Active,93,1,0,Active,86,1,0,Active,89,1,0,Active,62,1,0,Active,90,C1=CC(=CC=C1NC(=O)NCCCN2C=CN=C2)Cl
4465,3243045,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,COC1=CC2=C(C=C1)C=C(C(=O)N2)CCNC(=O)C3CC3
4467,3243076,1,0,Active,89,1,0,Active,41,1,0,Active,85,0,0,Inactive,0,1,0,Active,46,CC1=CC(=NN1)NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2CCCC(=O)NCC4=CC=CO4
4469,3243078,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1CN(CCC1C(=O)O)S(=O)(=O)C2=CN=CC=C2
4481,3243162,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCC(C(=O)N1CCOCC1)SC2=C(C=CC=N2)C(=O)O
4483,707391,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,84,0,0,Inactive,0,C1=COC(=C1)C2=NN=C(O2)C3=CC=C(C=C3)Cl
4484,3243172,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1COCCN1C2C(=O)NC3=C(S2)C=CC(=C3)C(=O)N4CCOCC4
4486,958894,1,0,Active,63,0,0,Inactive,0,1,0,Active,41,1,0,Active,87,1,0,Active,85,CC1=CC(=C2C(=O)C3=CC=CC=C3C2=O)C=C(N1CC4=CC=CO4)C
4497,2052768,1,0,Active,40,0,0,Inactive,0,1,0,Active,40,1,0,Active,87,1,0,Active,41,COC1=CC=CC(=C1)C2=CC(=NC(=N2)N3CCOCC3)C(F)(F)F
4508,6603654,1,0,Active,85,1,0,Active,66,1,0,Active,43,0,0,Inactive,0,0,0,Inactive,0,COC1=C(C=C(C=C1)C2C3=CC=CN3C4=C(CN2)C=CC5=C4OCO5)OC.Cl
4517,3243424,1,0,Active,44,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,85,1,0,Active,85,CC(=C1C(=O)N=C(S1)N2CCCC2)C3=CC=C(C=C3)Br
4523,3243443,1,0,Active,42,0,0,Inactive,0,1,0,Active,63,0,0,Inactive,0,0,0,Inactive,0,CC1CCN(CC1)C(=O)CN(C)S(=O)(=O)C2=CC=CC3=NSN=C32
4525,3243463,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCOC(=O)C1CCCN(C1)C(=O)C2CCN(CC2)S(=O)(=O)CC
4529,3243494,1,0,Active,41,1,0,Active,41,1,0,Active,43,0,0,Inactive,0,0,0,Inactive,0,CC(C)C(C(=O)NCCN1CCN(CC1)C2=CC=CC=C2)NS(=O)(=O)C3=CC=CS3
4540,3243567,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COC(=O)CNC(=O)CCCCC(=O)NCC(=O)OC
4542,3243589,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C(=O)O)NC(=O)C1=CC2=CC=CC=C2O1
4546,3243609,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCS(=O)(=O)N1CCC(CC1)C(=O)NCC=C
4553,3243652,1,0,Active,46,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,0,0,Inactive,0,CSC1=C(C(=NS1)SC)NC(=O)OCC2CCCO2
4554,2155640,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,64,CCCCN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=NN=C(O2)CSC
4556,3243674,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC=C(C=C1)CCN2CC(CC2=O)C(=O)NCCN3CCOCC3
4558,3243698,1,0,Active,46,1,0,Active,41,1,0,Active,87,0,0,Inactive,0,1,0,Active,40,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(C2C(C)C)C(=O)C3=CC=CC=C3
4562,3243725,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCCCN(C)CCCNC(=O)CCN1C(=O)C=CC(=N1)C2=CC=CC=C2
4564,694660,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=C(C(=C(S1)CO)SC2=CC=CC=C2)C(=O)O
4569,3243795,1,0,Active,43,0,0,Inactive,0,1,0,Active,84,1,0,Active,42,1,0,Active,83,C1CCCC2=C(CC1)C(=C(C(=N2)N)C#N)C3=CC(=CC=C3)O
4571,3243819,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,92,0,0,Inactive,0,CN1C2=C(C(=O)OC3=CC=CC=C32)N=C1C(F)(F)F
4572,757187,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,CC(=O)N1C(=NC(=N1)C2=CC=CO2)N
4576,3243857,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1CCC(CC1)N2C(C3=C(C2=O)C=CC=N3)O
4577,3243869,1,0,Active,44,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,65,1,0,Active,85,COC1=CC(=C(C=C1)NC(=O)C2=CC3=C(C=C2)C(=O)N(C(=S)N3)CC4=CC=CO4)OC
4580,3243879,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCCNC(=O)CN1C=NC2=C(C1=O)C(=C(S2)C(=O)NCCN(CC)CC)C
4588,3243941,1,0,Active,43,0,0,Inactive,0,1,0,Active,88,0,0,Inactive,0,1,0,Active,45,CC1=CC=CC=C1N2C(=C3CSCC3=N2)NC(=O)C4=C(ON=C4C5=CC=CC=C5Cl)C
4613,1284314,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1COCCN1C(=O)C2=C(N(N=C2)C3=CC=CC=C3)NC(=O)C4=CC=CO4
4614,3244105,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,CC(=O)NC1=CC=C(C=C1)C2=CN3C=CC=NC3=N2
4617,3244119,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1COC2=C(N1C(=O)CCC(=O)O)C=C(C=C2)Cl
4624,3244152,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1CCCN(CC1)CCCNC(=O)C2CC(=O)N(C2)C3CCCC3
4636,3244244,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COC1=CC=C(C=C1)N2C(C(CCC2=O)C(=O)O)C3=CC=C(C=C3)F
4642,3244292,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCCS(=O)(=O)N1CCCC(C1)C(=O)N2CCC3(CC2)OCCO3
4645,135412481,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,43,0,0,Inactive,0,1,0,Active,43,CC1=CC=C(C=C1)C2C3=C(CCCC3=O)NC4=C2C(=O)NC(=N4)SCC(=O)NCC5=CC=CO5
4646,3244305,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,1,0,Active,44,0,0,Inactive,0,CC1=CC(=NC2=C1C=C(C=C2)NC(=O)CCC(=O)NCC3=CC=CO3)N4CCN(CC4)C
4651,1285300,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC(=NC(=N1)C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CN3C(=O)C4=CC=CC=C4C3=O
4652,3244348,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCOC(=O)N1CCN(CC1)C(=O)C2=CN=C3N(C2=O)CCS3
4656,619876,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2CC(=O)O
4658,3244423,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COC1=C(C=C(C=C1)NC(=O)C2=NN3C(CC(NC3=C2)C4=CC5=C(C=C4)OCO5)C(F)(F)F)OC
4663,3244446,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,87,0,0,Inactive,0,1,0,Active,41,C1CN(CCN1C2=CC=CC=C2)C(=O)CCCN3C(=O)C4C5CC(C4C3=O)C=C5
4664,3244448,1,0,Active,83,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,84,1,0,Active,64,CC1CC2=C(S1)C(=O)N(C(=N2)SCC(=O)NC3=NC4=C(S3)C=C(C=C4)C)C
4670,3244472,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,C1COCCN1C(=O)C2=CC3=C(C=C2)C(=O)N(C3=O)CC4=CC=CO4
4672,3244478,1,0,Active,41,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,CCOC(=O)C1=C(N(N=C1)CCOC(=O)C(C)(C)C)NC(=O)C(C)(C)C
4682,612407,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC(=C(C(=O)N1C2=CC=C(C=C2)F)C(=O)O)C
4686,3244649,1,0,Active,85,0,0,Inactive,0,1,0,Active,43,1,0,Active,84,1,0,Active,87,CC1=NC2=C(S1)C=CC3=C2SC(=N3)NC(=O)C4=CC5=C(C=C4)OCCO5
4693,3244703,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC=C(C=C1)N2C3=C(C=N2)C(=O)N(C=N3)CC(=O)NCC4CCCO4
4695,6603307,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,CC1=C(C(=NC2=NC(=NN12)C)C)CCC(=O)NC(C)C3=CC4=C(C=C3)OCCO4.Cl
4702,3244777,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,64,0,0,Inactive,0,COC1=CC2=C(C=C1)OC(=O)C(=C2)NC(=O)C3CCCCC3
4703,3244782,0,0,Inactive,0,1,0,Active,44,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1CCN(C1)S(=O)(=O)N2CCC(CC2)C(=O)NCCCN3CCN(CC3)CC4=CC=CC=C4
4706,3244815,0,0,Inactive,0,1,0,Active,43,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCN(CC)CCCNC(=O)CC1C(=O)NC2=CC=CC=C2S1
4712,1266902,1,0,Active,88,1,0,Active,41,1,0,Active,46,1,0,Active,87,1,0,Active,45,C1CCCN(CC1)C2=NC(=NC(=N2)N3C=CN=C3)C4=CC=CC=C4
4714,3244860,1,0,Active,43,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,1,0,Active,42,CC(C)OC1=C(C=C(C=C1)C2C(=O)N(CC(=O)N2CC3=CC=CO3)C4CCCC4)OC
4716,866706,1,0,Active,46,1,0,Active,40,1,0,Active,42,1,0,Active,41,1,0,Active,45,COC1=CC=C(C=C1)N2C=CN=C2SCC(=O)NC3=CC=CC=C3
4722,765854,1,0,Active,46,1,0,Active,41,1,0,Active,43,1,0,Active,84,1,0,Active,42,C1=CC=C(C=C1)CCC2=NC3=C(O2)C=CC(=C3)N
4724,9555297,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,44,1,0,Active,85,CN1C2=C(C=C(C=C2)C=NN3C=NN=C3)N(C1=O)C
4725,3244945,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1CCC2(CC1)C(=CC(=O)O2)NCC3CCCO3
4728,3244988,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,COCCNC(=O)CCN1C(=O)C=CC(=N1)C2=CC=C(C=C2)Cl
4730,3244994,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1CCN(CC1)CCCNC(=O)C2=NNC(=O)C3=CC=CC=C32
4734,3245051,1,0,Active,41,0,0,Inactive,0,1,0,Active,43,0,0,Inactive,0,1,0,Active,43,CCCCOC(=O)C1=C(NC2=NC=NN2C1C3=C(C=CC(=C3)OC)OC)C
4735,135485424,1,0,Active,41,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,1,0,Active,45,COC1=CC=CC=C1CN2C3=C(C(=O)NC(=N3)C4CCN(CC4)C(=O)C5=CC=C(C=C5)F)N=N2
4739,3245110,1,0,Active,44,0,0,Inactive,0,1,0,Active,41,1,0,Active,43,0,0,Inactive,0,CCCN(C1=NC(=CC(=N1)OC)C)S(=O)(=O)C2=CC=CC=C2
4742,3245122,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,C1=CC=C(C(=C1)C#N)NC(=O)NC2=CC=CS2
4751,3245180,1,0,Active,86,1,0,Active,41,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,85,C1CN(CCN1CCC(=O)NC2=CC=CC=C2F)C3=CC=CC=C3F
4756,3245287,1,0,Active,40,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1CN(CCC12OCCO2)C(=O)CN3C(=O)C4=C(C=CS4)C=N3
4759,3245313,1,0,Active,86,1,0,Active,44,1,0,Active,85,0,0,Inactive,0,1,0,Active,43,CN1C=CC=C1CC2=NN=C(N2CCC3=CC=CC=C3)SCC(=O)NC4=C(C=C(C=C4)OC)OC
4763,3245343,1,0,Active,84,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,1,0,Active,88,CC1CCN(CC1)C(=O)C(C2=CC=CC=C2)NS(=O)(=O)C3=CC=CC4=NSN=C43
4767,1266897,1,0,Active,64,1,0,Active,41,1,0,Active,87,1,0,Active,93,1,0,Active,90,CN(C1=CC=CC=C1)C2=NC(=NC(=N2)N3C=CN=C3)N4C=CN=C4
4768,135485428,1,0,Active,42,0,0,Inactive,0,1,0,Active,85,1,0,Active,84,1,0,Active,84,CCC(C(=O)NCCOC)SC1=NC2=NNC(=C2C(=N)N1C3=CC(=CC=C3)Cl)C
4770,2835548,1,0,Active,44,0,0,Inactive,0,1,0,Active,41,1,0,Active,41,1,0,Active,42,CCOC(=O)N(C1=CC=CC=C1)P2(=S)OCC(O2)C
4775,3124991,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N(C)C)NC(=O)C
4781,3245475,1,0,Active,89,0,0,Inactive,0,1,0,Active,84,1,0,Active,44,1,0,Active,44,COC1=CC=C(C=C1)N2C=CN=C2SCC(=O)NC3=C(C=C(C=C3)OC)OC
4783,3245490,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,63,0,0,Inactive,0,COC1=CC2=CC3=C(N=C2C=C1)OC(=C3)C(=O)NCC4=CC=CS4
4784,756979,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)(C)C1CCC2(CC1)NC(CO2)(CO)CO
4787,3245502,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,CC1=CC=C(C=C1)CN2CC34C=CC(O3)C(C4C2=O)C(=O)NCCCOC
4788,3245519,1,0,Active,44,0,0,Inactive,0,1,0,Active,63,1,0,Active,43,1,0,Active,42,CC1=C(C=C(C=C1)NC(=O)N(CC2=CC=CO2)C(C)C3=CC=CO3)C
4791,3245531,0,0,Inactive,0,1,0,Active,40,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1CC(C2=CC=CC=C2C1)NC(=O)C3C4C=CC(C3C(=O)O)O4
4795,3245564,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCOC(=O)C(=C1C=CN(C=N1)C)C#N
4803,3245597,1,0,Active,84,0,0,Inactive,0,1,0,Active,44,1,0,Active,42,1,0,Active,41,CC1=CC=C(C=C1)NC2C3=C(C=CC=N3)C(=O)N2CC4=CC=C(C=C4)F
4810,627093,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,40,1,0,Active,42,1,0,Active,42,CCC(=O)NC1=NON=C1C2=NC3=CC=CC=C3N2N(C(=O)CC)C(=O)CC
4813,3245674,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1C2C=CC1C3C2C(=O)N(C3=O)C4=NC=NN4
4816,3245705,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=C(SC2=C1C(=O)N(C(=N2)C)C)C(=O)O
4818,3245710,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,43,0,0,Inactive,0,0,0,Inactive,0,C1COCCN1C(C2=CC3=C(C=C2)OCO3)P(=O)(N4CCOCC4)N5CCOCC5
4826,3245768,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,42,0,0,Inactive,0,CCCS(=O)(=O)N1CCCC(C1)C(=O)N2CCN(CC2)C(=O)OCC
4830,3245798,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN1CCN(CC1)CCCNC(=O)C2CCN(CC2)C3=NN=C(S3)N4C=CC=C4
4831,3245807,1,0,Active,42,0,0,Inactive,0,1,0,Active,42,1,0,Active,40,1,0,Active,87,C1=CC=C(C=C1)C(C(=O)NC2=CC=CC=N2)NS(=O)(=O)C3=CC=CC4=NSN=C43
4833,3245831,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,44,0,0,Inactive,0,CC1=C2CC(CC2=NC(=N1)N)C(=C)C
4840,3245893,1,0,Active,42,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CS(=O)(=O)N1CCCC(C1)C(=O)N2CCC3(CC2)OCCO3
4841,254510,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,41,0,0,Inactive,0,CCOC(=O)C1=NC(=CC=C1)C(=O)OCC
4847,3245945,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=C(C=CC(=C1)OCN2C=CC(=N2)C(=O)O)Cl
4851,3245971,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,90,0,0,Inactive,0,CCCC(=O)NC1=C(C=CC(=C1)C2=CN3C=CC=NC3=N2)OC
4852,6602872,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,44,0,0,Inactive,0,CC1=C(OC(=[N+]1[O-])C2=CC(=CC=C2)Cl)C.Cl
4857,219559,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)N(CC(=O)O)CC(=O)O
4861,219585,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CCN(CC(=O)O)CC(=O)O
4862,219648,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1(C2CCC1(C(C2)OCC(C)(C)N)C)C
4863,219751,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CN1C2=C(C=N1)C(=NC=N2)Cl
4864,3246003,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1=CC2=C(NN=C2C=C1)CC(C(=O)O)N
4865,219796,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1(C2CCC1(C(C2)OCC(C)(C)[N+](=O)[O-])C)C
4869,219939,1,0,Active,51,1,0,Active,46,1,0,Active,88,1,0,Active,96,1,0,Active,44,C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)CCC(=O)NN
4871,3246006,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C(C(C(C(C(C(=O)O)O)O)O)O)O
4872,3246007,1,0,Active,89,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,1,0,Active,46,C1=CC=C2C(=C1)C=CC=N2.C(=N)=S.C(=N)=S.C(#N)S.[NH2-].[NH2-].[NH2-].[NH2-].[Cu]
4875,3246009,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NO)C(=O)O
4876,14925,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C(C(CC(=O)O)C(=O)O)C(=O)O
4879,407193,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C1=CC=C2C(=C1)C=CC=C2CCCS(=O)(=O)O
4880,220278,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C(CO)CSCCO
4883,3246013,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC(C)C1(CCC2C3(CCCC(C3CC(C2(C1Cl)Cl)Cl)(C)C(=O)O)C)Cl
4886,220442,0,0,Inactive,0,1,0,Active,44,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,CC1=CC=C(C=C1)S(=O)(=O)O.C1=CC=C(C=C1)C(C2=CC=CC=C2)SC(=N)N
4887,3246015,0,0,Inactive,0,1,0,Active,44,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C[N+]1(CCCC1C2=C[N+](=CC=C2)CC3=CC(=C(C=C3)Cl)Cl)CC4=CC(=C(C=C4)Cl)Cl
4888,3246016,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,0,0,Inactive,0,C[N+]1(CCCC1C2=CN=CC=C2)CC[N+]3(CCCC3C4=CN=CC=C4)C
